date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:31	1304/1304	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2011:03:29%20GMT	https://preparetopioneer.com/robots.txt		(from )
15:03:31	4049/4049	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jun%202023%2011:03:30%20GMT	https://preparetopioneer.com/	D:/Pioneer/preparetopioneer.com/index.html	(from )
15:03:32	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2002%20Jun%202023%2011:03:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Pioneer/www.googletagmanager.com/gtm.15445.delayed	(from https://preparetopioneer.com/)
15:03:32	246185/246185	---M--	200	added ('OK')	image/png	etag:%223b2d4967ccd5643cf96e67f3b1732920%22	https://preparetopioneer.com/assets/images/share_amethyst.png	D:/Pioneer/preparetopioneer.com/assets/images/share_amethyst.png	(from https://preparetopioneer.com/)
15:03:33	6111/6111	---MCZ	200	added ('OK')	text/css	etag:W/%2279f6dee647e8aa04f5dca77da486b7cd%22	https://preparetopioneer.com/_nuxt/entry.f713f468.css	D:/Pioneer/preparetopioneer.com/_nuxt/entry.f713f468.css	(from https://preparetopioneer.com/)
15:03:33	711450/711450	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ee148f4862baa7032418e0fd9950bdf%22	https://preparetopioneer.com/_nuxt/entry.3e07ed2f.js	D:/Pioneer/preparetopioneer.com/_nuxt/entry.3e07ed2f.js	(from https://preparetopioneer.com/)
15:03:34	147426/147426	---MCZ	200	added ('OK')	application/javascript	etag:W/%220703898913614f13d79a1726a57472e3%22	https://preparetopioneer.com/_nuxt/tweakpane.95688764.js	D:/Pioneer/preparetopioneer.com/_nuxt/tweakpane.95688764.js	(from https://preparetopioneer.com/)
15:03:34	79461/79461	---MCZ	200	added ('OK')	application/javascript	etag:W/%22443f082907767e51a9e354d85b402e4a%22	https://preparetopioneer.com/_nuxt/tweakpane-plugin-essentials.0bb003d9.js	D:/Pioneer/preparetopioneer.com/_nuxt/tweakpane-plugin-essentials.0bb003d9.js	(from https://preparetopioneer.com/)
15:03:34	8120/8120	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d0dea2d9f9d42461c3586d110a53cb3a%22	https://preparetopioneer.com/_nuxt/tweakpane-image-plugin.ae119bf8.js	D:/Pioneer/preparetopioneer.com/_nuxt/tweakpane-image-plugin.ae119bf8.js	(from https://preparetopioneer.com/)
15:03:34	17341/17341	---MCZ	200	added ('OK')	application/javascript	etag:W/%2234a93ef7ff6463c8495732f02a883b44%22	https://preparetopioneer.com/_nuxt/default.e7d114d3.js	D:/Pioneer/preparetopioneer.com/_nuxt/default.e7d114d3.js	(from https://preparetopioneer.com/)
15:03:34	19567/19567	---MCZ	200	added ('OK')	text/css	etag:W/%2268a9efc5b31b734169a9c17f94d30a8f%22	https://preparetopioneer.com/_nuxt/default.c5152140.css	D:/Pioneer/preparetopioneer.com/_nuxt/default.c5152140.css	(from https://preparetopioneer.com/)
15:03:35	1342/1342	---MCZ	200	added ('OK')	text/css	etag:W/%2218901735c18831a90506471b745cbcc8%22	https://preparetopioneer.com/_nuxt/SoundToggle.00c27478.css	D:/Pioneer/preparetopioneer.com/_nuxt/SoundToggle.00c27478.css	(from https://preparetopioneer.com/)
15:03:35	5891/5891	---MCZ	200	added ('OK')	text/css	etag:W/%229ee14ccd7ca61695a354bbf7924cd37d%22	https://preparetopioneer.com/_nuxt/ButtonPrimary.7578e41a.css	D:/Pioneer/preparetopioneer.com/_nuxt/ButtonPrimary.7578e41a.css	(from https://preparetopioneer.com/)
15:03:35	51/51	---MCZ	200	added ('OK')	text/css	etag:W/%22b4cb9c63466c2050453e21e678aad2ca%22	https://preparetopioneer.com/_nuxt/index.7ffa2c0d.css	D:/Pioneer/preparetopioneer.com/_nuxt/index.7ffa2c0d.css	(from https://preparetopioneer.com/)
15:03:35	1336/1336	---MCZ	200	added ('OK')	text/css	etag:W/%227c899975b0506f891fc6c596b84196a2%22	https://preparetopioneer.com/_nuxt/Share.555e2a58.css	D:/Pioneer/preparetopioneer.com/_nuxt/Share.555e2a58.css	(from https://preparetopioneer.com/)
15:03:35	1182/1182	---MCZ	200	added ('OK')	text/css	etag:W/%22d3a179de8de582feb46f260cdac0836f%22	https://preparetopioneer.com/_nuxt/language.5ae9f5c1.css	D:/Pioneer/preparetopioneer.com/_nuxt/language.5ae9f5c1.css	(from https://preparetopioneer.com/)
15:03:36	1461/1461	---MCZ	200	added ('OK')	application/javascript	etag:W/%229cb1c0f9fe1c6e959d63b715af9a13d5%22	https://preparetopioneer.com/_nuxt/SoundToggle.3a5868ba.js	D:/Pioneer/preparetopioneer.com/_nuxt/SoundToggle.3a5868ba.js	(from https://preparetopioneer.com/)
15:03:36	1063/1063	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286ea9e00c0c2e2bcfcd67a61ac8f7a5b%22	https://preparetopioneer.com/_nuxt/ButtonPrimary.2d46e3d0.js	D:/Pioneer/preparetopioneer.com/_nuxt/ButtonPrimary.2d46e3d0.js	(from https://preparetopioneer.com/)
15:03:36	2605/2605	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bca4fc18625ec4f0c381f31da7cb98e9%22	https://preparetopioneer.com/_nuxt/index.9b54dd4e.js	D:/Pioneer/preparetopioneer.com/_nuxt/index.9b54dd4e.js	(from https://preparetopioneer.com/)
15:03:36	777/777	---MCZ	200	added ('OK')	application/javascript	etag:W/%2295c1a37e531247e5303c105536a5b5d7%22	https://preparetopioneer.com/_nuxt/CallToAction.a96c55e9.js	D:/Pioneer/preparetopioneer.com/_nuxt/CallToAction.a96c55e9.js	(from https://preparetopioneer.com/)
